date,country_code,device_code,app_id,product_id,category_id,category_name,store_product_rank_free,store_product_rank_paid,store_product_rank_grossing,store_product_rank_new_free,store_product_rank_new_paid,app_name,product_name,company_name,publisher_name,market_code
2025-02-12,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,20,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2025-02-13,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,24,,2,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-03,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,66,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-04,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,69,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-05,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,67,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-06,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,67,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-07,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,67,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-08,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,66,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-09,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,72,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-10,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,73,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-11,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,74,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-12,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,73,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
2024-11-13,US,android-all,com.scopely.monopolygo,20600016782714,all,Game / Board,59,,3,,,MONOPOLY GO!,MONOPOLY GO!,Scopely,Scopely,google-play
